CustomerID,KMeans_Cluster,HC_Cluster,Cluster_Name
12346,3,3,VIP Champions
12347,0,0,Loyal Regulars
12348,0,0,Loyal Regulars
12349,0,0,Loyal Regulars
12350,1,2,Dormant
12352,0,0,Loyal Regulars
12353,1,2,Dormant
12354,1,2,Dormant
12355,1,2,Dormant
12356,0,0,Loyal Regulars
12357,0,0,Loyal Regulars
12358,0,0,Loyal Regulars
12359,0,0,Loyal Regulars
12360,0,0,Loyal Regulars
12361,1,2,Dormant
12362,0,0,Loyal Regulars
12363,0,0,Loyal Regulars
12364,0,0,Loyal Regulars
12365,1,2,Dormant
12367,0,0,Loyal Regulars
12370,0,0,Loyal Regulars
12371,0,0,Loyal Regulars
12372,0,0,Loyal Regulars
12373,1,2,Dormant
12374,0,0,Loyal Regulars
12375,0,0,Loyal Regulars
12377,1,2,Dormant
12378,0,0,Loyal Regulars
12379,0,0,Loyal Regulars
12380,0,0,Loyal Regulars
12381,0,0,Loyal Regulars
12383,1,2,Dormant
12384,0,0,Loyal Regulars
12386,1,2,Dormant
12388,0,0,Loyal Regulars
12390,0,0,Loyal Regulars
12391,0,0,Loyal Regulars
12393,0,0,Loyal Regulars
12394,0,0,Loyal Regulars
12395,0,0,Loyal Regulars
12397,0,0,Loyal Regulars
12398,0,0,Loyal Regulars
12399,0,0,Loyal Regulars
12401,1,2,Dormant
12402,1,2,Dormant
12403,0,0,Loyal Regulars
12405,1,2,Dormant
12406,0,0,Loyal Regulars
12407,0,0,Loyal Regulars
12408,0,0,Loyal Regulars
12409,0,0,Loyal Regulars
12410,1,2,Dormant
12412,0,0,Loyal Regulars
12413,0,0,Loyal Regulars
12414,1,2,Dormant
12415,4,1,VIP Champions
12417,0,0,Loyal Regulars
12418,0,0,Loyal Regulars
12420,0,0,Loyal Regulars
12421,0,0,Loyal Regulars
12422,0,0,Loyal Regulars
12423,0,0,Loyal Regulars
12424,1,2,Dormant
12425,0,0,Loyal Regulars
12426,1,2,Dormant
12427,0,0,Loyal Regulars
12428,0,0,Loyal Regulars
12429,0,0,Loyal Regulars
12430,0,0,Loyal Regulars
12431,3,0,VIP Champions
12432,0,0,Loyal Regulars
12433,0,0,Loyal Regulars
12434,0,0,Loyal Regulars
12435,0,0,Loyal Regulars
12436,0,0,Loyal Regulars
12437,3,3,VIP Champions
12438,0,0,Loyal Regulars
12441,1,2,Dormant
12442,0,0,Loyal Regulars
12444,0,0,Loyal Regulars
12445,0,0,Loyal Regulars
12446,0,0,Loyal Regulars
12447,1,2,Dormant
12448,0,0,Loyal Regulars
12449,0,0,Loyal Regulars
12450,1,2,Dormant
12451,0,0,Loyal Regulars
12452,0,0,Loyal Regulars
12453,0,0,Loyal Regulars
12454,0,0,Loyal Regulars
12455,0,0,Loyal Regulars
12456,0,0,Loyal Regulars
12457,0,0,Loyal Regulars
12458,0,0,Loyal Regulars
12461,0,0,Loyal Regulars
12462,0,0,Loyal Regulars
12463,0,0,Loyal Regulars
12464,0,0,Loyal Regulars
12465,0,0,Loyal Regulars
12468,1,2,Dormant
12471,3,3,VIP Champions
12472,0,0,Loyal Regulars
12473,0,0,Loyal Regulars
12474,3,3,VIP Champions
12475,0,0,Loyal Regulars
12476,0,0,Loyal Regulars
12477,0,0,Loyal Regulars
12478,0,0,Loyal Regulars
12479,0,0,Loyal Regulars
12480,0,0,Loyal Regulars
12481,0,0,Loyal Regulars
12483,0,0,Loyal Regulars
12484,0,0,Loyal Regulars
12488,0,0,Loyal Regulars
12489,1,2,Dormant
12490,0,0,Loyal Regulars
12491,0,0,Loyal Regulars
12492,0,0,Loyal Regulars
12493,1,2,Dormant
12494,0,0,Loyal Regulars
12497,0,0,Loyal Regulars
12498,0,0,Loyal Regulars
12500,0,0,Loyal Regulars
12501,1,2,Dormant
12502,0,0,Loyal Regulars
12504,0,0,Loyal Regulars
12506,1,2,Dormant
12507,0,2,Loyal Regulars
12508,0,0,Loyal Regulars
12509,1,2,Dormant
12510,0,2,Loyal Regulars
12512,0,0,Loyal Regulars
12513,0,0,Loyal Regulars
12514,1,2,Dormant
12515,1,2,Dormant
12516,0,0,Loyal Regulars
12517,0,0,Loyal Regulars
12518,0,0,Loyal Regulars
12519,0,0,Loyal Regulars
12520,0,0,Loyal Regulars
12521,0,2,Loyal Regulars
12522,0,0,Loyal Regulars
12523,0,0,Loyal Regulars
12524,0,0,Loyal Regulars
12526,0,0,Loyal Regulars
12527,0,0,Loyal Regulars
12528,0,0,Loyal Regulars
12530,0,0,Loyal Regulars
12531,0,0,Loyal Regulars
12532,0,0,Loyal Regulars
12534,0,0,Loyal Regulars
12535,0,0,Loyal Regulars
12536,0,0,Loyal Regulars
12538,0,0,Loyal Regulars
12539,0,0,Loyal Regulars
12540,3,3,VIP Champions
12541,0,0,Loyal Regulars
12544,0,0,Loyal Regulars
12545,0,0,Loyal Regulars
12546,0,0,Loyal Regulars
12547,1,2,Dormant
12548,1,2,Dormant
12550,0,0,Loyal Regulars
12551,1,2,Dormant
12552,0,0,Loyal Regulars
12553,0,0,Loyal Regulars
12556,0,0,Loyal Regulars
12557,0,0,Loyal Regulars
12558,0,0,Loyal Regulars
12559,1,2,Dormant
12560,0,0,Loyal Regulars
12561,1,2,Dormant
12562,0,0,Loyal Regulars
12564,1,2,Dormant
12565,1,2,Dormant
12566,0,0,Loyal Regulars
12567,0,0,Loyal Regulars
12569,3,3,VIP Champions
12571,0,0,Loyal Regulars
12572,0,0,Loyal Regulars
12573,1,2,Dormant
12574,1,2,Dormant
12576,0,0,Loyal Regulars
12577,0,0,Loyal Regulars
12578,0,0,Loyal Regulars
12579,0,0,Loyal Regulars
12580,1,2,Dormant
12581,0,0,Loyal Regulars
12582,1,2,Dormant
12583,3,0,VIP Champions
12584,0,0,Loyal Regulars
12585,1,2,Dormant
12586,0,0,Loyal Regulars
12587,0,0,Loyal Regulars
