CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment,total_orders,unique_products,total_quantity,avg_quantity,std_quantity,avg_unit_price,std_unit_price,max_unit_price,total_revenue,avg_revenue,std_revenue,max_revenue,avg_items_per_order,std_items_per_order,avg_unique_products_per_order,std_unique_products_per_order,avg_order_value,std_order_value,customer_lifetime_days,days_since_first,avg_days_between_purchases,std_days_between_purchases,min_days_between_purchases,max_days_between_purchases,preferred_day,weekend_purchase_ratio,unique_products_diversity,products_per_order,primary_country,is_uk,revenue_trend,Recency_scaled,Frequency_scaled,Monetary_scaled,total_orders_scaled,total_quantity_scaled,total_revenue_scaled,avg_quantity_scaled,avg_unit_price_scaled,avg_revenue_scaled,max_revenue_scaled,avg_items_per_order_scaled,avg_order_value_scaled,customer_lifetime_days_scaled,days_since_first_scaled,avg_days_between_purchases_scaled,unique_products_scaled,products_per_order_scaled,weekend_purchase_ratio_scaled,revenue_trend_scaled
12346,326,1,77183.6,1,1,5,Hibernating,1,1,74215,74215.0,7.649468209299839,1.04,2.635531948637904,1.04,77183.6,77183.6,9.707481967183876,77183.6,74215.0,84.11557019837392,1.0,7.7781745930520225,77183.6,118.32706040885154,0,326,1.1176470588235294,7.264191139170547,0.0,53.0,1,0.0,1,1.0,United Kingdom,1,0.0,2.3345741373435525,-0.4250965025587132,8.363010369638731,-0.4250965025587132,14.4808251006238,8.363010369638731,61.63879715565492,-0.10028389258941645,52.53978276548178,26.631310435605435,56.34734258262815,42.73549631571343,-0.9880647720874756,0.8712079620459973,-0.19618139219281272,-0.7088019014967976,-1.0308134925438395,-0.47232290469686866,0.02040195830430157
12347,2,7,4310.0,5,5,5,Champions,7,103,2458,13.505494505494505,18.85617188780375,2.644010989010989,2.255381008076303,12.75,4310.0,23.681318681318682,23.289902310501176,249.6,351.14285714285717,173.27764673247054,26.0,11.430952132988164,615.7142857142857,341.07078946836157,365,367,2.0,11.260550608207398,0.0,90.0,1,0.0,103,14.714285714285714,Iceland,0,0.028413520575816215,-0.9053403195403357,0.35441679662391234,0.25169890463901645,0.35441679662391234,0.25190279948703814,0.25169890463901645,-0.026240442058807326,-0.05339817699438707,-0.030454981097854963,0.021105118371586108,0.07517797511844854,0.11026447733751628,1.7765770783561585,1.2190402984260504,-0.11436942729919894,0.4861801912382988,-0.23180427451781654,-0.47232290469686866,0.06860076453554204
12348,75,4,1797.24,2,4,4,Loyal Customers,4,22,2341,75.51612903225806,51.091989566364134,5.764838709677419,13.400323347085758,40.0,1797.24,57.97548387096774,48.51485730087981,240.0,585.25,477.1780764732037,6.75,4.349329450233296,449.31,301.1599183158343,282,358,9.4,34.08872803890378,0.0,173.0,3,0.0967741935483871,22,5.5,Finland,0,-0.6896679745828279,-0.17535959314365723,-0.03533985296740041,-0.02798782686310067,-0.03533985296740041,0.22870249973603124,-0.02798782686310067,0.025293400150635054,0.037824540265468075,-0.00708983960792727,0.017784636256455676,0.2535292850584666,0.017627450843948293,1.1479050959265102,1.142686858732868,0.5717602516085754,-0.46277617652192476,-0.7686385928790507,-0.12613865955692988,-1.1495049169142015
12349,19,1,1757.55,4,1,4,New Customers,1,73,631,8.643835616438356,6.982855717584514,8.289041095890411,35.02802117053271,300.0,1757.55,24.076027397260273,34.6559127045895,300.0,631.0,84.11557019837392,73.0,7.7781745930520225,1757.55,118.32706040885154,0,19,0.0,0.0,0.0,0.0,0,0.0,73,73.0,Italy,0,0.0,-0.7353448079137119,-0.4250965025587132,-0.03240558517400941,-0.4250965025587132,-0.1103788043171463,-0.03240558517400941,-0.030280716182379156,0.11160772254731095,-0.03018605998709801,0.0385376494760209,0.2883832939117333,0.7459227770113872,-0.9880647720874756,-1.7332927030436698,-0.29980988105805684,0.13471486984562342,3.1639849020927815,-0.47232290469686866,0.02040195830430157
12350,310,1,334.40000000000003,1,1,2,Hibernating,1,17,197,11.588235294117647,4.345382945285314,3.841176470588235,9.334750855240422,40.0,334.40000000000003,19.67058823529412,7.275538185065965,40.0,197.0,84.11557019837392,17.0,7.7781745930520225,334.40000000000003,118.32706040885154,0,310,0.0,0.0,0.0,0.0,2,0.0,17,17.0,Norway,0,0.0,2.1745783616949654,-0.4250965025587132,-0.19081154990491803,-0.4250965025587132,-0.1964380358721633,-0.19081154990491803,-0.027833777370205433,-0.018404675906201814,-0.03318755335412932,-0.05139207447542841,-0.042253642532370406,-0.04634278086422482,-0.9880647720874756,0.7354685137025618,-0.29980988105805684,-0.5213537300873706,-0.09863607151347935,-0.47232290469686866,0.02040195830430157
12352,36,8,2506.04,3,5,5,Loyal Customers,8,59,536,6.305882352941176,4.442820665093841,15.93070588235294,53.70632399998194,376.5,2506.04,29.482823529411764,51.68790029756352,376.5,67.0,41.20332857566589,10.375,5.95069023607466,313.255,230.5931599778524,260,297,3.0714285714285716,20.15230305489979,0.0,181.0,1,0.0,59,7.375,Norway,0,-0.16725852296821292,-0.5653492962870882,0.4843356798210166,0.05090627973231655,0.4843356798210166,-0.12921665454232284,0.05090627973231655,-0.032223668637124864,0.33497584427791494,-0.026502326735791358,0.06499774133096656,-0.14129235621378394,-0.05811417194828472,0.981269148776483,0.6251802119235206,-0.015026327071239317,-0.029302280137625102,-0.6593990513520553,-0.47232290469686866,-0.2633242739856157
12353,204,1,89.0,1,1,1,Hibernating,1,4,20,5.0,2.581988897471611,6.074999999999999,4.516174634946409,9.95,89.0,22.25,12.215427404174878,39.8,20.0,84.11557019837392,4.0,7.7781745930520225,89.0,118.32706040885154,0,204,0.0,0.0,0.0,0.0,3,0.0,4,4.0,Bahrain,0,0.0,1.114606348023076,-0.4250965025587132,-0.2181261855687377,-0.4250965025587132,-0.23153592523907116,-0.2181261855687377,-0.03330892015300027,0.04689064651179642,-0.03143016049998492,-0.05146125118616029,-0.17709866039091038,-0.18295660786958282,-0.9880647720874756,-0.16380533157269778,-0.29980988105805684,-0.67365536935753,-0.856030226100647,-0.47232290469686866,0.02040195830430157
12354,232,1,1079.4,1,1,4,Hibernating,1,58,530,9.137931034482758,8.832651299446644,4.5037931034482765,4.342805636745455,16.95,1079.4,18.610344827586207,8.679742086377074,54.08,530.0,84.11557019837392,58.0,7.7781745930520225,1079.4,118.32706040885154,0,232,0.0,0.0,0.0,0.0,3,0.0,58,58.0,Spain,0,0.0,1.3945989554081033,-0.4250965025587132,-0.1078881449760441,-0.4250965025587132,-0.13040641350391294,-0.1078881449760441,-0.029870098947057694,0.0009638042411614869,-0.0339099134727636,-0.04652203403990378,0.21143783174386582,0.3683976474935246,-0.9880647720874756,0.0737387030283142,-0.29980988105805684,-0.04101779085071428,2.290068569876819,-0.47232290469686866,0.02040195830430157
12355,214,1,459.4,1,1,2,Hibernating,1,13,240,18.46153846153846,27.978013345647522,4.203846153846154,3.4644901944863844,12.75,459.40000000000003,35.338461538461544,29.70352219466962,120.0,240.0,84.11557019837392,13.0,7.7781745930520225,459.40000000000003,118.32706040885154,0,214,0.0,0.0,0.0,0.0,0,0.0,13,13.0,Bahrain,0,0.0,1.2146037078034428,-0.4250965025587132,-0.17689822693027474,-0.4250965025587132,-0.18791142998076762,-0.17689822693027474,-0.022121729370847353,-0.007803733805016689,-0.022512790619701788,-0.023721390182674777,-0.009494683391595156,0.023244539330028433,-0.9880647720874756,-0.07896817635805065,-0.29980988105805684,-0.5682157729397274,-0.3316804267710694,-0.47232290469686866,0.02040195830430157
12356,23,3,2811.43,4,3,5,Potential Loyalists,3,53,1591,26.966101694915253,24.624046350653558,3.201186440677966,3.9638535259246632,18.0,2811.43,47.65135593220339,48.5722968956169,324.0,530.3333333333334,621.216816685876,19.666666666666668,17.03917055884274,937.1433333333333,1174.8942498937226,302,326,5.206896551724138,30.81111591429054,0.0,222.0,1,0.0,53,17.666666666666668,Portugal,0,-0.9419017925231167,-0.6953458640015652,-0.16525873616450468,0.08489819735812702,-0.16525873616450468,0.07998262953726916,0.08489819735812702,-0.015054025208911907,-0.037111773757525605,-0.014123826547552589,0.04683885476384699,0.2116917771635618,0.28920356578872064,1.2993923206083533,0.8712079620459973,0.1829747485555215,-0.09959534441616018,-0.05979534563721427,-0.47232290469686866,-1.577377587019628
