CustomerID,Orders,FirstPurchase,LastPurchase,TotalItems,TotalRevenue,Country
12346,1,2011-01-18 10:01:00,2011-01-18 10:01:00,74215,77183.6,United Kingdom
12347,7,2010-12-07 14:57:00,2011-12-07 15:52:00,2458,4310.0,Iceland
12348,4,2010-12-16 19:09:00,2011-09-25 13:13:00,2341,1797.24,Finland
12349,1,2011-11-21 09:51:00,2011-11-21 09:51:00,631,1757.55,Italy
12350,1,2011-02-02 16:01:00,2011-02-02 16:01:00,197,334.4,Norway
12352,8,2011-02-16 12:33:00,2011-11-03 14:37:00,536,2506.04,Norway
12353,1,2011-05-19 17:47:00,2011-05-19 17:47:00,20,89.0,Bahrain
12354,1,2011-04-21 13:11:00,2011-04-21 13:11:00,530,1079.4,Spain
12355,1,2011-05-09 13:49:00,2011-05-09 13:49:00,240,459.4,Bahrain
12356,3,2011-01-18 09:50:00,2011-11-17 08:40:00,1591,2811.43,Portugal
12357,1,2011-11-06 16:07:00,2011-11-06 16:07:00,2708,6207.67,Switzerland
12358,2,2011-07-12 10:04:00,2011-12-08 10:26:00,248,1168.06,Austria
12359,4,2011-01-12 12:43:00,2011-10-13 12:47:00,1609,6310.03,Cyprus
12360,3,2011-05-23 09:43:00,2011-10-18 15:22:00,1165,2662.06,Austria
12361,1,2011-02-25 13:51:00,2011-02-25 13:51:00,91,189.9,Belgium
12362,10,2011-02-17 10:30:00,2011-12-06 15:40:00,2229,5226.23,Belgium
12363,2,2011-04-11 13:29:00,2011-08-22 10:18:00,408,552.0,Unspecified
12364,4,2011-08-19 15:24:00,2011-12-02 10:22:00,1506,1313.1,Belgium
12365,2,2011-02-21 13:51:00,2011-02-21 14:04:00,174,641.38,Cyprus
12367,1,2011-12-05 16:48:00,2011-12-05 16:48:00,173,168.9,Denmark
12370,4,2010-12-14 12:58:00,2011-10-19 14:51:00,2352,3541.94,Cyprus
12371,2,2011-10-11 10:43:00,2011-10-26 10:16:00,591,1887.96,Switzerland
12372,3,2011-02-16 12:46:00,2011-09-29 12:12:00,794,1298.04,Denmark
12373,1,2011-02-01 13:10:00,2011-02-01 13:10:00,197,364.6,Austria
12374,1,2011-11-14 15:37:00,2011-11-14 15:37:00,342,742.9300000000001,Austria
12375,2,2011-09-02 14:23:00,2011-11-29 10:36:00,178,457.5,Finland
12377,2,2010-12-20 09:37:00,2011-01-28 15:45:00,944,1628.12,Switzerland
12378,1,2011-08-02 10:34:00,2011-08-02 10:34:00,2529,4008.62,Switzerland
12379,2,2011-06-22 16:32:00,2011-09-19 10:09:00,407,852.24,Belgium
12380,4,2011-06-07 09:49:00,2011-11-18 11:27:00,1127,2724.81,Belgium
12381,5,2011-08-12 09:57:00,2011-12-05 12:44:00,808,1845.31,Norway
12383,5,2010-12-22 14:28:00,2011-06-08 08:02:00,1532,1850.56,Belgium
12384,2,2011-08-10 11:23:00,2011-11-11 08:39:00,126,585.27,Switzerland
12386,2,2010-12-08 09:53:00,2011-01-06 12:37:00,354,401.9,Australia
12388,6,2011-01-17 11:12:00,2011-11-24 12:30:00,1462,2780.66,Australia
12390,1,2011-09-21 09:33:00,2011-09-21 09:33:00,353,549.84,Belgium
12391,1,2011-11-18 12:07:00,2011-11-18 12:07:00,293,439.66,Cyprus
12393,4,2011-01-11 09:47:00,2011-09-28 15:41:00,816,1582.6000000000001,Australia
12394,2,2011-05-06 14:01:00,2011-10-07 08:08:00,819,1272.48,Belgium
12395,12,2010-12-03 16:35:00,2011-11-20 15:21:00,2118,3018.63,Belgium
12397,2,2011-07-27 14:21:00,2011-11-04 09:52:00,1263,2409.9,Belgium
12398,1,2011-10-25 10:27:00,2011-10-25 10:27:00,1394,1635.6599999999999,Switzerland
12399,4,2011-03-23 09:42:00,2011-08-12 13:15:00,1178,1108.65,Belgium
12401,1,2011-02-09 13:50:00,2011-02-09 13:50:00,11,84.3,Belgium
12402,1,2011-01-20 13:49:00,2011-01-20 13:49:00,94,225.6,Belgium
12403,1,2011-10-21 10:51:00,2011-10-21 10:51:00,96,427.7,Denmark
12405,1,2011-07-14 08:52:00,2011-07-14 08:52:00,857,1710.39,Finland
12406,2,2011-06-09 10:23:00,2011-11-17 19:22:00,1818,3415.3,Denmark
12407,5,2011-03-20 13:21:00,2011-10-21 10:11:00,1416,1708.1200000000001,Belgium
12408,5,2011-03-24 14:46:00,2011-11-07 12:27:00,1409,2888.55,Belgium
12409,3,2011-06-10 12:19:00,2011-09-22 10:38:00,5551,11072.67,Switzerland
12410,2,2011-02-04 10:38:00,2011-02-04 10:39:00,211,693.3299999999999,Switzerland
12412,3,2011-06-23 13:51:00,2011-09-26 10:16:00,829,1226.88,Denmark
12413,3,2011-01-06 16:12:00,2011-10-04 09:00:00,286,758.1,France
12414,3,2011-02-02 14:51:00,2011-05-06 14:51:00,300,562.41,Austria
